Fiber 1_right: Spring Idx,x (mm),y (mm),z (mm),Cutting plane x
53,1.0,5.17676486179823,6.765521416892095,1
54,1.0,10.391680284932924,7.032352210685534,1
55,1.688970949866967,10.31790490298374,7.051647114207103,1
56,3.9344235908111553,9.680757238386972,7.1228758729364685,1
57,5.981422934980949,8.561796258843414,7.194104631665833,1
58,7.728155423283579,7.017298313719267,7.265333390395198,1
59,9.087880193798128,5.124689490980429,7.336562149124562,1
60,9.9932364656292,2.9786643355700093,7.4077909078539275,1
61,10.399580448991518,0.6864479686480266,7.479019666583292,1
62,10.287186485300849,-1.6375613431643767,7.550248425312656,1
63,9.662203905176433,-3.8775014891804425,7.621477184042021,1
64,8.556323225126507,-5.921822751427968,7.6927059427713855,1
65,7.025169682709014,-7.668843005970764,7.763934701500751,1
66,5.145505523869752,-9.031805238952131,7.835163460230115,1
67,3.0113817451831655,-9.943185825746044,7.90639221895948,1
68,1.0,-10.310577993956617,7.965029035511776,1
69,1.0,-5.174364277646541,8.231859829305215,1
70,1.0,-0.038150561336465216,8.498690623098655,1
71,1.0,5.098063154973611,8.765521416892096,1
72,1.0,10.234276871283686,9.032352210685534,1
73,1.485153503866967,10.193528449202496,9.046052358629314,1
74,3.7081775180749217,9.604675091249401,9.11728111735868,1
75,5.744014228158854,8.537762362618855,9.188509876088045,1
76,7.491398240501367,7.0464757202746595,9.259738634817408,1
77,8.863548953752616,5.205594129352426,9.330967393546773,1
78,9.792480285873863,3.1072404682201484,9.402196152276138,1
79,10.232369048174043,0.8562714993178752,9.473424911005504,1
80,10.161815087037983,-1.4349619012252575,9.544653669734867,1
81,9.584881729614848,-3.6522224211441605,9.615882428464232,1
82,8.530865981700652,-5.685082005574982,9.687111187193597,1
83,7.052811292453626,-7.432421588222188,9.75833994592296,1
84,5.224838360388107,-8.807460953338232,9.829568704652326,1
85,3.1384282858729957,-9.74206853478595,9.900797463381691,1
86,1.0,-10.153174580307379,9.965029035511776,1
87,1.0,-5.095662570821922,10.231859829305215,1
88,1.0,-0.03815056133646433,10.498690623098655,1
89,1.0,5.019361448148993,10.765521416892096,1
90,1.0,10.07687345763445,11.032352210685534,1
91,1.286236649073942,10.065222135808245,11.040457603051525,1
92,3.4858383935250847,9.523675167148294,11.11168636178089,1
93,5.509324709599283,8.508067726247848,11.182915120510255,1
94,7.256037519184772,7.06953127626157,11.25414387923962,1
95,8.63922233046848,5.280220524445357,11.325372637968984,1
96,9.59033703003516,3.229694380139184,11.39660139669835,1
97,10.062448273430427,1.0204333984026963,11.467830155427714,1
98,10.032547183376824,-1.2372819352007924,11.539058914157078,1
99,9.502670111687676,-3.430876109779748,11.610287672886443,1
100,8.499769903294673,-5.451091894489979,11.681516431615808,1
101,7.0743454378133634,-7.197432150223553,11.752745190345173,1
102,5.297899105735676,-8.583159105832008,11.823973949074537,1
103,1.0,-9.995771166658143,11.965029035511776,1
104,1.0,-5.016960863997303,12.231859829305215,1
105,1.0,-0.038150561336465216,12.498690623098655,1
106,1.0,4.940659741324373,12.765521416892096,1
107,3.259350218773522,-9.539602409037162,11.895202707803902,1
108,1.0605842529524838,-10.01956198516712,11.966431466533267,1
109,1.0,9.919470043985212,13.032352210685534,1
