Fiber 1_left: Spring Idx,x (mm),y (mm),z (mm),Cutting plane x
60,-10.093046589858666,-2.912083965130771,6.410588285642821,-1
61,-10.48212429789959,-0.5994271327746855,6.481817044372186,-1
62,-10.348369415971307,1.7406820141405968,6.553045803101551,-1
63,-9.698996199717627,3.991583330185006,6.624274561830916,-1
64,-8.566910111956295,6.041185130281888,6.69550332056028,-1
65,-7.00904083900607,7.7875461862578215,6.766732079289645,-1
66,-5.103479645574605,9.1439459531966,6.83796083801901,-1
67,-2.945565003110328,10.043190850650648,6.909189596748374,-1
68,-1.0,10.398768719238006,6.968275176918846,-1
69,-1.0,5.224342653408695,7.2351059707122864,-1
70,-1.0,0.049916587579383886,7.501936764505725,-1
71,-1.0,-5.124509478249927,7.768767558299164,-1
72,-1.0,-10.298935544079239,8.035598352092604,-1
73,-1.5864544237236164,-10.25621622449662,8.048849736418209,-1
74,-3.8208186813729887,-9.643337937555103,8.120078495147574,-1
75,-5.862386579589301,-8.550492337722627,8.19130725387694,-1
76,-7.609611178561342,-7.032655796343623,8.262536012606303,-1
77,-8.975723465419946,-5.1659280757977655,8.333764771335668,-1
78,-9.893041321944398,-3.0437170282610833,8.404993530065033,-1
79,-10.316322598944076,-0.7720646829812932,8.476222288794398,-1
80,-10.224996188035176,1.5356514089363411,8.547451047523762,-1
81,-9.62416108146273,3.7643768127827397,8.618679806253127,-1
82,-8.544304934178106,5.803116410889886,8.689908564982492,-1
83,-7.039757517249379,7.550462179326353,8.761137323711855,-1
84,-5.185957491596217,8.919637246859109,8.83236608244122,-1
85,-3.0756699947487594,9.842805345085274,8.903594841170586,-1
86,-1.0,10.241365305588769,8.968275176918846,-1
87,-1.0,5.145640946584075,9.235105970712286,-1
88,-1.0,0.049916587579383,9.501936764505725,-1
89,-1.0,-5.04580777142531,9.768767558299164,-1
90,-1.0,-10.141532130430003,10.035598352092604,-1
91,-1.3850777813391626,-10.129858186265883,10.04325498084042,-1
92,-3.59651313507266,-9.564782767547674,10.114483739569785,-1
93,-5.626321708612133,-8.523617160559363,10.18571249829915,-1
94,-7.373534442461448,-7.058765132968903,10.256941257028515,-1
95,-8.751375609538126,-5.243690569237458,10.328170015757879,-1
96,-9.691572481994271,-3.1692332985236984,10.399398774487244,-1
97,-10.14773814302424,-0.9390628543754045,10.470627533216609,-1
98,-10.097659837226704,1.3355023121274119,10.541856291945972,-1
99,-9.544379984264467,3.5410512620884598,10.613085050675338,-1
100,-8.516017278760309,5.567735293985808,10.684313809404703,-1
101,-7.0643381531152,7.314739016964219,10.755542568134068,-1
102,-5.2621511536255765,8.695295282888244,10.826771326863431,-1
103,-3.1996553706006825,9.64099451729524,10.898000085592797,-1
104,-1.0,10.083961891939532,10.968275176918846,-1
105,-1.0,5.066939239759458,11.235105970712286,-1
106,-1.0,0.049916587579383886,11.501936764505725,-1
107,-1.0,-4.96710606460069,11.768767558299164,-1
108,-1.0,-9.984128716780765,12.035598352092604,-1
109,-1.188639301042763,-9.99963708670815,12.03766022526263,-1
110,-3.376165980273994,-9.48136662141456,12.108888983991996,-1
111,-5.393038778777039,-8.491125220450298,12.180117742721361,-1
112,-7.138925104763371,-7.078781585174896,12.251346501450726,-1
113,-8.527107958935904,-5.315187334657281,12.32257526018009,-1
114,-9.488793042527538,-3.2886227917310404,12.393804018909455,-1
115,-9.976517870585518,-1.1003779955123711,12.46503277763882,-1
116,-9.96649395791811,1.140309864622433,12.536261536368183,-1
117,-9.459766507842906,3.321709563412492,12.607490295097548,-1
118,-8.482135098490234,5.335167283607584,12.678719053826914,-1
119,-7.082840677710258,7.0805185710073,12.749947812556279,-1
120,-5.332085661470314,8.47107123607069,12.821176571285642,-1
121,-3.3175120178243014,9.43791131806256,12.892405330015007,-1
122,-1.139814017562887,9.93331823964757,12.963634088744373,-1
123,-1.0,9.926558478290294,12.968275176918846,-1
124,-1.0,4.988237532934838,13.235105970712286,-1
125,-1.0,0.049916587579383,13.501936764505725,-1
126,-1.0,-4.888404357776073,13.768767558299164,-1
127,-1.0,-9.826725303131528,14.035598352092604,-1
128,-3.159878006665967,-9.393204660898567,14.103294228414207,-1
129,-5.1626615971602146,-8.453106457968147,14.174522987143572,-1
130,-6.905923823474711,-7.092765398590546,14.245751745872937,-1
131,-8.303071018111048,-5.380445927836454,14.3169805046023,-1
132,-9.284855860910724,-3.4018790066540165,14.388209263331666,-1
133,-9.802809382168295,-1.255969876571175,14.45943802206103,-1
134,-9.831633546886911,0.9501460174277047,14.530666780790396,-1
135,-9.370436326732941,3.1064518027195764,14.60189553951976,-1
136,-8.442748989999616,5.105535614375062,14.673124298249125,-1
137,-7.095326103306836,6.847941086770923,14.74435305697849,-1
138,-5.395789409949847,8.247115378514616,14.815581815707855,-1
139,-3.4292343048381335,9.233708564224475,14.886810574437218,-1
140,-1.2939691995876534,9.759010830049673,14.958039333166584,-1
141,-1.0,9.769155064641058,14.968275176918846,-1
142,-1.0,4.909535826110221,15.235105970712286,-1
143,-1.0,0.049916587579383886,15.501936764505725,-1
144,-1.0,-4.809702650951453,15.768767558299166,-1
145,-1.0,-9.66932188948229,16.035598352092606,-1
146,-2.9477471737854835,-9.300414075087168,16.097699472836418,-1
147,-4.935311660853334,-8.409653418075804,16.168928231565783,-1
148,-6.674669581776433,-7.100779870537599,16.240156990295148,-1
149,-8.079414335244884,-5.43949725154108,16.311385749024513,-1
150,-9.07991360426751,-3.508998917643981,16.38261450775388,-1
151,-9.626760863553514,-1.4058016988160327,16.453843266483243,-1
152,-9.693214932426075,0.7650795058214702,16.525072025212605,-1
153,-9.276507126890275,2.89537522572315,16.59630078394197,-1
154,-8.39795214102359,4.878961197544179,16.667529542671335,-1
155,-7.101858483881101,6.617145118751955,16.7387583014007,-1
156,-5.453294134678197,8.0235770082027,16.809987060130066,-1
157,-3.534820073553086,9.028538863637017,16.88121581885943,-1
158,-1.4423556601800658,9.582400519359071,16.952444577588796,-1
159,-1.0,9.61175165099182,16.968275176918844,-1
160,-1.0,4.830834119285601,17.235105970712283,-1
161,-1.0,0.049916587579383,17.501936764505725,-1
162,-1.0,-4.731000944126835,17.768767558299167,-1
163,-1.0,-9.511918475833054,18.035598352092606,-1
164,-2.739868571134775,-9.203114016421148,18.09210471725863,-1
165,-4.711108103882493,-8.360861196576145,18.163333475987994,-1
166,-6.445299624389384,-7.102891309587386,18.23456223471736,-1
167,-7.856286431184861,-5.492375530203473,18.305790993446724,-1
168,-8.87411867461596,-3.609982965694741,18.37701975217609,-1
169,-9.448521010784313,-1.549840102482657,18.448248510905454,-1
170,-9.551375702984355,0.5851758250336063,18.519477269634816,-1
171,-9.178098541504363,2.6885741983460383,18.59070602836418,-1
172,-8.347840276583241,4.655562568217671,18.661934787093546,-1
173,-7.102504874346308,6.388267467218757,18.73316354582291,-1
174,-5.504634886375896,7.800604378122327,18.804392304552277,-1
175,-3.634270630044206,8.822554540374373,18.875621063281642,-1
176,-1.584940900367233,9.403636119457486,18.946849822011007,-1
177,-1.0,9.454348237342584,18.968275176918844,-1
178,-1.0,4.752132412460984,19.235105970712283,-1
179,-1.0,0.049916587579383886,19.501936764505725,-1
180,-1.0,-4.652299237302216,19.768767558299167,-1
181,-1.0,-9.354515062183816,20.035598352092606,-1
182,-2.536334379674557,-9.101425535932147,20.08650996168084,-1
183,-4.490167645298647,-8.306827385504166,20.157738720410205,-1
184,-6.217949394847209,-7.099168993827748,20.22896747913957,-1
185,-7.633834729026241,-5.539118283140516,20.300196237868935,-1
186,-8.667623134266126,-3.704835047946319,20.3714249965983,-1
187,-9.268238955095459,-1.6880551730915843,20.442653755327665,-1
188,-9.406254635367489,0.41049720744091267,20.51388251405703,-1
189,-9.075332086047595,2.486140168560174,20.585111272786392,-1
190,-8.292511604117584,4.435455833730997,20.656340031515757,-1
191,-7.097335288499147,6.161443115715903,20.727568790245122,-1
