Fiber 2: Spring Idx,x (mm),y (mm),z (mm)
75,-9.01456074667724,8.677225821582713,5.24393141945973
76,-6.90364501086418,10.427537608204197,5.313850505052526
77,-4.4633333183061605,11.67518294816279,5.383769590645323
78,-1.8111805152898541,12.3607579494868,5.453688676238119
79,0.9252056059994468,12.451917999944875,5.523607761830916
80,3.614304121137532,11.944903220251419,5.593526847423712
81,6.127002359517316,10.864689310919003,5.663445933016509
82,8.34279503342374,9.263757977530284,5.733365018609305
83,10.155563469538578,7.219547432932349,5.803284104202102
84,11.478657781764271,4.830706813511174,5.873203189794897
85,12.249038595810712,2.2123356708777018,5.943122275387694
86,12.430280363533567,-0.5095617373304919,6.01304136098049
87,12.01429319427355,-3.2041401568433616,6.082960446573287
88,11.021681834922862,-5.742003242721411,6.152879532166083
89,9.500725979029625,-8.001417297746357,6.22279861775888
90,7.525032325277538,-9.874150453632247,6.292717703351676
91,5.189972554558736,-11.270657208924552,6.362636788944473
92,2.608079592995648,-12.124359975686843,6.432555874537269
93,-0.09637561410564403,-12.394822921457498,6.5024749601300655
94,-2.793365461470509,-12.069666815051459,6.572394045722862
95,-5.353357284578902,-11.165134218194988,6.6423131313156585
96,-7.653534631087429,-9.725279289611338,6.712232216908454
97,-9.583689404143016,-7.819822560852215,6.7821513025012505
98,-11.051502201654332,-5.540775127884904,6.852070388094047
99,-11.986957859821409,-2.997995702973856,6.9219894736868435
100,-12.345685014689547,-0.3138950589652286,6.99190855927964
101,-12.111060401327324,2.3824568730045006,7.061827644872436
102,-11.294978112507989,4.961537566642652,7.131746730465233
103,-9.937248271303453,7.299593670691299,7.201665816058029
104,-8.10365544437923,9.284579116015191,7.271584901650826
105,-5.882771469082946,10.821524629640326,7.341503987243622
106,-3.381677098365325,11.837081337852222,7.411423072836419
107,-0.7207991188271495,12.28302108361655,7.481342158429215
108,1.9718881332665243,12.138526426154433,7.551261244022012
109,4.567017665228089,11.411161603312834,7.621180329614807
110,6.940045112612881,10.13647921093649,7.691099415207604
111,8.977225809299485,8.376282933359123,7.7610185008004
112,10.581066794978053,6.215631193016434,7.830937586393197
113,11.674992436250296,3.75872697625109,7.900856671985993
114,12.207000387360337,1.123892440209728,7.97077575757879
115,12.152133351011717,-1.5621293428025929,8.040694843171586
116,11.513649166506884,-4.170271083492653,8.110613928764382
117,10.322834401538456,-6.575343148231954,8.180533014357179
118,8.637471840090123,-8.662042597111103,8.250452099949975
119,6.539036906681976,-10.330480957054318,8.320371185542772
120,4.128759041858407,-11.50096572285739,8.390290271135568
121,1.5227384203344432,-12.11780670686433,8.460209356728365
122,-1.1536464233844497,-12.151965441593598,8.53012844232116
123,-3.7717706869546044,-11.60242160566708,8.600047527913958
124,-6.205944899872161,-10.496192203922428,8.669966613506753
125,-8.33944894840515,-8.88700401455686,8.73988569909955
126,-10.070128848210265,-6.8526845045344595,8.809804784692346
127,-11.315287898612794,-4.491397902073612,8.879723870285144
128,-12.01563803219445,-1.9169084516719288,8.94964295587794
129,-12.138122565598172,0.7469005887355107,9.019562041470735
130,-11.677475969929622,3.371988143120405,9.089481127063532
131,-10.656447088497343,5.8323098562181785,9.159400212656328
132,-9.124676508068339,8.009870146251263,9.229319298249125
133,-7.156283446008091,9.800381180825244,9.29923838384192
134,-4.846279443451494,11.118257377035649,9.369157469434718
135,-2.3059823822364542,11.900706234520356,9.439076555027514
136,0.34234782408299946,12.110719972856867,9.508995640620311
137,2.9713933658810943,11.73882545272063,9.578914726213107
138,5.454899308219081,10.803509657358278,9.648833811805904
139,7.673736742292924,9.350301717548387,9.7187528973987
140,9.521617146468003,7.449557014992022,9.788671982991497
141,10.910183852041762,5.193051194342922,9.858591068584293
142,11.773236723259538,2.6895489629238543,9.928510154177088
143,12.069888058168956,0.05956162487722678,9.998429239769886
144,11.786499271564358,-2.5704539653297958,10.068348325362681
145,10.937306646735086,-5.074175786164091,10.138267410955478
146,9.563707510407957,-7.331484008076534,10.208186496548274
147,7.732242561040724,-9.23422390776915,10.278105582141071
148,5.531372670786274,-10.691387854684566,10.348024667733867
149,3.0672062814178216,-11.633468088882411,10.417943753326664
150,0.4583837530299073,-12.015772107223583,10.48786283891946
151,-2.169634703641822,-11.82054252921795,10.557781924512257
152,-4.690602498610774,-11.05778090990277,10.627701010105053
153,-6.98355138393683,-9.76473732995147,10.69762009569785
154,-8.938596083674533,-8.004091722123468,10.767539181290646
155,-10.462200299421129,-5.860915705827585,10.837458266883441
156,-11.48165173189194,-3.4385621822074284,10.907377352476239
157,-11.94853202601093,-0.8536812863469921,10.977296438069034
158,-11.841016056403111,1.7693969576493378,11.047215523661832
159,-11.16489138068029,4.3046427738404125,11.117134609254627
160,-9.953250281293844,6.630381926124879,11.187053694847425
161,-8.264870628741656,8.635135228743108,11.25697278044022
162,-6.1813647619564005,10.222962020514467,11.326891866033018
163,-3.803234672276585,11.318051478506137,11.396810951625813
164,-1.2450241613089528,11.86834205414245,11.46673003721861
165,1.37019818872942,11.84799623642677,11.536649122811406
166,3.916759504509541,11.258613017667358,11.606568208404203
167,6.272421752863336,10.129121197789047,11.676487293996999
168,8.324249307158341,8.514360089264942,11.746406379589795
169,9.97402329919123,6.492417226368692,11.816325465182592
170,11.142943183584407,4.160852312050551,11.886244550775388
171,11.775390462517644,1.6319899927164416,11.956163636368185
172,11.841574812002879,-0.9724914206161435,12.02608272196098
173,11.338936729392405,-3.527414596157827,12.096001807553778
174,10.29224068799481,-5.910119490011794,12.165920893146573
175,8.752355756361895,-8.00635216212459,12.23583997873937
176,6.7937836887881105,-9.715743382183556,12.305759064332166
177,4.5110545911992785,-10.956614321353053,12.375678149924964
178,2.0141645293809347,-11.669879235792374,12.44559723551776
179,-0.576724725728689,-11.821858674608928,12.515516321110557
180,-3.1370684202280263,-11.40586928056619,12.585435406703352
181,-5.543925717022398,-10.44251516322188,12.655354492296148
182,-7.6818629813217205,-8.978668274425182,12.725273577888945
183,-9.448489992290552,-7.085188201601144,12.79519266348174
184,-10.759363564496704,-4.853492288921402,12.865111749074538
185,-11.552023740119552,-2.3911420972063437,12.935030834667334
186,-11.788969636729528,0.18334072059995998,13.004949920260131
187,-11.459433179659865,2.746179272239458,13.074869005852927
188,-10.579866845740382,5.174292413861056,13.144788091445724
